sales_date,gross_shipping_cost,gross_revenue,city_name_en
2023-07-05,3.36,300.33,Baghdad
2023-07-04,0.0,147.95,Al Quadisiya Governorate
2023-07-04,0.0,757.54,Al Muthanna Governorate
2023-07-04,0.0,222.95,Baghdad
2023-07-04,0.0,1060.0,Al Anbar
2023-07-03,3.36,776.78,Baghdad
2023-07-03,0.0,39.0,Karbala
2023-07-03,0.0,455.0,Al Anbar
2023-07-03,0.0,148.25,Al Muthanna Governorate
2023-07-03,10.88,28.82,Basrah
2023-07-03,0.0,78.6,Dhi Qar Governorate
2023-07-03,5.44,470.0,Najaf
2023-07-04,0.0,27.4,Wasit
2023-07-04,0.0,439.0,Al Tamim
2023-07-04,0.0,27.4,Maysan
2023-07-04,0.0,1060.0,Diyala Governorate
2023-07-03,0.0,27.4,Maysan
2023-07-03,0.0,307.54,Al Quadisiya Governorate
2023-07-04,10.88,14.4,Basrah
2023-07-03,0.0,918.0,Al Sulaymaniah
2023-07-04,0.0,265.0,Erbil
